               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081285,            0.019466,            0.014938,             0.52611,             0.56012,              0.5046,             0.15765,            0.046865,            0.010862,           0.0034017,            0.070079,           0.0033245,           0.0033245
                   1,            0.053328,            0.012022,           0.0059037,             0.64624,             0.83106,             0.78675,             0.35293,            0.034338,           0.0067848,           0.0023365,            0.040013,            0.006592,            0.006592
                   2,            0.047885,           0.0096187,           0.0051307,             0.81421,             0.82311,             0.86541,             0.44063,            0.033822,           0.0060384,           0.0024009,           0.0098813,           0.0097934,           0.0097934
                   3,             0.04136,           0.0087405,           0.0044366,             0.91852,             0.92173,             0.94074,             0.47062,            0.029476,           0.0053676,           0.0017138,            0.009703,            0.009703,            0.009703
                   4,            0.036958,           0.0078821,           0.0038679,              0.9012,             0.90928,             0.91362,             0.42177,            0.032751,           0.0052306,           0.0015619,            0.009703,            0.009703,            0.009703
                   5,             0.03376,           0.0073624,           0.0035373,             0.93482,             0.95727,             0.97689,             0.58326,            0.024757,           0.0048752,           0.0013784,            0.009604,            0.009604,            0.009604
                   6,            0.032347,           0.0071332,           0.0034604,             0.93874,             0.95698,             0.97551,             0.54691,            0.025078,           0.0048483,           0.0013288,            0.009505,            0.009505,            0.009505
                   7,            0.031333,           0.0067233,           0.0033426,             0.94245,              0.9681,             0.97953,             0.57735,            0.024866,           0.0045589,           0.0012617,            0.009406,            0.009406,            0.009406
                   8,            0.030022,           0.0067163,           0.0031952,             0.94378,              0.9647,             0.98336,              0.5879,            0.022784,           0.0044934,           0.0012351,            0.009307,            0.009307,            0.009307
                   9,            0.029394,           0.0064109,           0.0030913,             0.95315,             0.97411,             0.98609,             0.61927,            0.022012,           0.0043024,           0.0012477,            0.009208,            0.009208,            0.009208
                  10,            0.028496,           0.0063441,           0.0029768,             0.96819,             0.97159,             0.98769,             0.61344,            0.022846,           0.0042389,            0.001137,            0.009109,            0.009109,            0.009109
                  11,            0.028223,           0.0062731,           0.0029391,              0.9537,              0.9804,             0.98649,             0.61858,            0.021402,           0.0042857,           0.0010962,             0.00901,             0.00901,             0.00901
                  12,            0.027858,           0.0062081,           0.0028155,             0.97028,             0.97721,             0.99079,             0.63466,             0.02098,           0.0041138,           0.0011127,            0.008911,            0.008911,            0.008911
                  13,            0.026953,           0.0061785,           0.0029113,             0.96367,             0.97716,             0.99053,             0.67049,            0.019277,           0.0040229,           0.0010492,            0.008812,            0.008812,            0.008812
                  14,            0.026827,           0.0059501,           0.0028959,             0.97576,             0.97819,             0.98959,             0.61454,            0.022228,           0.0041805,           0.0010977,            0.008713,            0.008713,            0.008713
                  15,            0.026561,           0.0060803,            0.002806,             0.96534,             0.98102,             0.98837,             0.58255,            0.023142,           0.0042292,           0.0010099,            0.008614,            0.008614,            0.008614
                  16,            0.025871,           0.0058023,           0.0026835,             0.97157,             0.98597,             0.99101,             0.63568,            0.020304,           0.0039952,            0.001094,            0.008515,            0.008515,            0.008515
                  17,            0.025527,           0.0058022,           0.0026832,             0.96771,             0.98525,             0.99151,             0.63231,            0.021289,           0.0040158,          0.00089661,            0.008416,            0.008416,            0.008416
                  18,            0.025552,           0.0057428,           0.0027286,             0.97816,              0.9817,             0.99187,             0.60034,            0.021742,           0.0040975,           0.0010727,            0.008317,            0.008317,            0.008317
                  19,             0.02558,             0.00576,           0.0027285,             0.97175,             0.98823,             0.99235,              0.6572,            0.019707,           0.0038744,          0.00093728,            0.008218,            0.008218,            0.008218
                  20,            0.025224,           0.0056911,           0.0027237,             0.97758,              0.9849,             0.99252,             0.62951,            0.021614,           0.0039601,          0.00098144,            0.008119,            0.008119,            0.008119
                  21,            0.025092,           0.0055451,           0.0025932,             0.97584,             0.98459,             0.99146,             0.65878,            0.020028,           0.0038872,          0.00089165,             0.00802,             0.00802,             0.00802
                  22,            0.024158,           0.0056493,           0.0025648,             0.97441,             0.98721,              0.9919,             0.61695,             0.02165,           0.0039557,           0.0010355,            0.007921,            0.007921,            0.007921
                  23,            0.024318,           0.0054307,           0.0026287,             0.97699,              0.9841,             0.99205,             0.64328,            0.020714,           0.0039115,           0.0009881,            0.007822,            0.007822,            0.007822
                  24,            0.024075,           0.0054845,           0.0024664,             0.97496,             0.98804,             0.99058,             0.61237,            0.021404,           0.0040167,          0.00099427,            0.007723,            0.007723,            0.007723
                  25,            0.023798,           0.0054053,           0.0025183,             0.97831,             0.98619,             0.99325,             0.68854,            0.018133,           0.0036699,          0.00088576,            0.007624,            0.007624,            0.007624
                  26,            0.023655,           0.0054562,           0.0025806,             0.97291,             0.98404,             0.99212,              0.7063,            0.017225,           0.0036431,          0.00090031,            0.007525,            0.007525,            0.007525
                  27,            0.023713,            0.005492,           0.0026366,             0.97696,             0.98577,             0.99261,             0.66154,            0.019022,           0.0037152,           0.0008375,            0.007426,            0.007426,            0.007426
                  28,            0.023253,           0.0052854,           0.0024575,             0.96991,             0.99018,             0.99252,             0.68048,            0.018229,           0.0037383,          0.00088391,            0.007327,            0.007327,            0.007327
                  29,            0.023214,           0.0053603,           0.0024667,             0.97533,             0.98492,             0.99301,             0.69913,            0.017466,           0.0036548,          0.00083379,            0.007228,            0.007228,            0.007228
                  30,            0.022723,           0.0052157,           0.0025034,             0.97179,             0.99018,             0.99271,             0.71954,            0.016587,           0.0035901,          0.00085146,            0.007129,            0.007129,            0.007129
                  31,            0.022659,           0.0052677,           0.0024116,             0.97193,             0.98883,             0.99257,             0.71778,            0.017007,            0.003559,           0.0008195,             0.00703,             0.00703,             0.00703
                  32,            0.022623,           0.0052395,           0.0024058,             0.97332,             0.98692,             0.99271,             0.68778,            0.017865,            0.003642,          0.00079213,            0.006931,            0.006931,            0.006931
                  33,             0.02269,           0.0051612,           0.0024505,              0.9752,             0.98597,             0.99342,             0.70023,             0.01723,            0.003616,          0.00076964,            0.006832,            0.006832,            0.006832
                  34,             0.02237,           0.0051639,           0.0024245,             0.98221,              0.9869,              0.9937,             0.70646,            0.017177,           0.0035408,           0.0008236,            0.006733,            0.006733,            0.006733
                  35,            0.022267,           0.0051538,           0.0023702,             0.98173,             0.99291,             0.99374,             0.71048,            0.016964,           0.0034864,          0.00076897,            0.006634,            0.006634,            0.006634
                  36,             0.02218,            0.005202,           0.0024146,             0.97245,             0.99092,              0.9932,             0.71271,            0.016781,           0.0035922,          0.00080218,            0.006535,            0.006535,            0.006535
                  37,            0.021963,           0.0050578,           0.0023631,             0.97624,             0.98831,              0.9928,             0.70717,            0.016884,           0.0035186,          0.00077429,            0.006436,            0.006436,            0.006436
                  38,            0.021867,           0.0051394,           0.0023431,             0.98314,              0.9865,             0.99363,             0.72451,            0.016377,           0.0034384,          0.00082335,            0.006337,            0.006337,            0.006337
                  39,             0.02215,           0.0050076,           0.0024337,             0.98243,             0.98905,             0.99375,             0.73271,            0.015933,           0.0033818,          0.00084853,            0.006238,            0.006238,            0.006238
                  40,            0.021516,           0.0050021,           0.0023413,             0.98287,             0.99083,             0.99413,              0.7392,            0.016091,           0.0033587,          0.00077371,            0.006139,            0.006139,            0.006139
                  41,            0.021792,           0.0051211,            0.002337,             0.98444,             0.99161,              0.9938,             0.73361,            0.016006,           0.0034112,          0.00081278,             0.00604,             0.00604,             0.00604
                  42,            0.021629,           0.0050012,             0.00233,             0.97873,              0.9927,             0.99344,             0.72546,             0.01633,           0.0034092,          0.00075529,            0.005941,            0.005941,            0.005941
                  43,            0.021382,           0.0049177,           0.0023581,             0.98237,             0.98998,             0.99387,             0.74128,             0.01603,           0.0033892,          0.00072889,            0.005842,            0.005842,            0.005842
                  44,            0.021343,           0.0049142,           0.0023471,             0.97886,             0.98864,             0.99337,             0.73843,            0.016059,           0.0033763,          0.00080265,            0.005743,            0.005743,            0.005743
                  45,            0.021241,           0.0049501,            0.002283,             0.98019,             0.99425,               0.994,             0.73713,            0.015837,           0.0033338,          0.00073824,            0.005644,            0.005644,            0.005644
                  46,            0.020972,           0.0048562,           0.0023067,             0.97446,             0.98981,             0.99337,             0.75371,            0.014831,           0.0033164,          0.00072698,            0.005545,            0.005545,            0.005545
                  47,             0.02106,           0.0049365,           0.0023785,             0.97931,             0.99342,             0.99381,             0.72635,            0.016589,              0.0034,          0.00075212,            0.005446,            0.005446,            0.005446
                  48,            0.020771,           0.0048918,           0.0023009,             0.97866,             0.98964,             0.99355,             0.75183,             0.01526,           0.0032825,          0.00079279,            0.005347,            0.005347,            0.005347
                  49,            0.021083,            0.004876,           0.0023333,             0.98611,             0.99286,             0.99408,             0.74448,            0.015305,           0.0032558,          0.00077067,            0.005248,            0.005248,            0.005248
                  50,            0.020641,           0.0048556,           0.0022927,             0.98557,             0.99392,             0.99411,             0.74878,            0.015232,           0.0032472,          0.00079684,            0.005149,            0.005149,            0.005149
                  51,             0.02061,           0.0047346,           0.0022742,              0.9855,             0.99284,             0.99416,              0.7391,            0.015982,           0.0032999,          0.00075356,             0.00505,             0.00505,             0.00505
                  52,            0.020565,           0.0048282,           0.0023208,             0.97996,             0.99405,             0.99403,             0.74167,            0.015459,           0.0032749,          0.00069742,            0.004951,            0.004951,            0.004951
                  53,            0.020367,            0.004738,           0.0022212,             0.98425,             0.99077,              0.9941,             0.73866,            0.015968,           0.0033208,          0.00067232,            0.004852,            0.004852,            0.004852
                  54,            0.020393,           0.0048035,           0.0022674,             0.98121,             0.99314,             0.99388,             0.73751,            0.015631,           0.0032848,          0.00069441,            0.004753,            0.004753,            0.004753
                  55,            0.020203,           0.0047176,           0.0022184,             0.98251,             0.99338,             0.99397,             0.76189,            0.014511,           0.0031728,          0.00068707,            0.004654,            0.004654,            0.004654
                  56,            0.020296,           0.0047548,           0.0023737,             0.98678,             0.99279,             0.99415,             0.76031,            0.014612,           0.0031681,          0.00067667,            0.004555,            0.004555,            0.004555
                  57,             0.02032,           0.0047088,           0.0022983,             0.98479,             0.99542,             0.99417,             0.76589,             0.01437,           0.0031526,          0.00067324,            0.004456,            0.004456,            0.004456
                  58,            0.019914,           0.0046786,           0.0022856,             0.98622,             0.99054,             0.99428,             0.74611,            0.015314,           0.0032427,          0.00067162,            0.004357,            0.004357,            0.004357
                  59,            0.019921,            0.004677,           0.0023059,             0.98574,             0.99405,              0.9943,               0.759,            0.014599,           0.0031698,          0.00068676,            0.004258,            0.004258,            0.004258
                  60,            0.019604,           0.0046444,           0.0021733,             0.98753,             0.99119,             0.99402,              0.7499,            0.015128,           0.0032144,           0.0006834,            0.004159,            0.004159,            0.004159
                  61,            0.019761,           0.0046021,            0.002246,             0.98729,             0.99429,              0.9944,             0.75102,            0.015073,           0.0031876,          0.00068386,             0.00406,             0.00406,             0.00406
                  62,            0.019632,           0.0045476,           0.0021771,             0.98592,             0.99283,             0.99418,             0.76171,            0.014525,           0.0031539,          0.00065454,            0.003961,            0.003961,            0.003961
                  63,            0.019549,           0.0045947,           0.0022477,             0.98282,             0.99455,             0.99413,             0.76397,            0.014482,           0.0031302,          0.00066263,            0.003862,            0.003862,            0.003862
                  64,            0.019529,            0.004559,           0.0022316,              0.9869,             0.99559,             0.99432,             0.76047,            0.014545,           0.0031181,          0.00067771,            0.003763,            0.003763,            0.003763
                  65,            0.019369,           0.0045084,            0.002157,             0.98677,             0.99563,             0.99426,              0.7622,            0.014428,           0.0031084,          0.00064423,            0.003664,            0.003664,            0.003664
                  66,            0.019327,            0.004554,           0.0021591,             0.98968,             0.99217,             0.99419,             0.75894,            0.014397,           0.0031165,          0.00064978,            0.003565,            0.003565,            0.003565
                  67,            0.018965,           0.0045308,           0.0021726,             0.98814,              0.9967,             0.99429,              0.7697,            0.014143,           0.0030838,          0.00061865,            0.003466,            0.003466,            0.003466
                  68,             0.01904,           0.0044827,           0.0021927,             0.98816,             0.99444,             0.99418,             0.77652,            0.013703,           0.0030535,          0.00062827,            0.003367,            0.003367,            0.003367
                  69,            0.019032,           0.0044204,           0.0021755,             0.98773,             0.99575,             0.99439,             0.77873,            0.013569,            0.003029,          0.00062814,            0.003268,            0.003268,            0.003268
                  70,            0.018915,           0.0044618,           0.0021776,             0.98641,             0.99448,              0.9943,             0.78419,            0.013407,           0.0030325,          0.00062372,            0.003169,            0.003169,            0.003169
                  71,            0.018926,           0.0044038,           0.0021121,              0.9855,             0.99553,             0.99412,             0.78318,            0.013479,           0.0030412,          0.00061224,             0.00307,             0.00307,             0.00307
                  72,            0.018627,           0.0044024,           0.0020829,             0.98902,              0.9939,             0.99435,             0.77454,            0.013926,           0.0030371,          0.00062499,            0.002971,            0.002971,            0.002971
                  73,            0.018547,           0.0044249,           0.0020699,             0.98759,             0.99498,             0.99443,             0.77436,            0.013857,           0.0030294,          0.00062629,            0.002872,            0.002872,            0.002872
                  74,            0.018598,           0.0044414,           0.0021721,             0.98687,             0.99555,             0.99434,             0.77991,             0.01359,           0.0030094,          0.00059944,            0.002773,            0.002773,            0.002773
                  75,            0.018594,            0.004399,           0.0021927,             0.98866,             0.99508,             0.99438,             0.78459,            0.013436,            0.002991,          0.00061246,            0.002674,            0.002674,            0.002674
                  76,            0.018587,           0.0044184,           0.0022067,             0.98844,             0.99443,             0.99413,             0.78235,             0.01366,           0.0030171,          0.00064412,            0.002575,            0.002575,            0.002575
                  77,            0.018259,           0.0043521,           0.0020751,              0.9889,             0.99371,             0.99419,              0.7707,            0.013934,           0.0030463,           0.0006232,            0.002476,            0.002476,            0.002476
                  78,            0.018268,           0.0043798,           0.0021353,             0.98973,             0.99505,              0.9944,             0.77566,            0.013826,            0.003007,          0.00061333,            0.002377,            0.002377,            0.002377
                  79,            0.018101,           0.0042561,           0.0020146,             0.99124,             0.99535,              0.9945,             0.78872,            0.013178,           0.0029463,          0.00060922,            0.002278,            0.002278,            0.002278
                  80,            0.018284,           0.0043254,           0.0021736,              0.9897,             0.99478,             0.99444,              0.7846,            0.013491,           0.0029836,          0.00060242,            0.002179,            0.002179,            0.002179
                  81,            0.017903,           0.0042671,           0.0020742,             0.99154,             0.99321,             0.99457,             0.79203,            0.013169,           0.0029388,          0.00059242,             0.00208,             0.00208,             0.00208
                  82,            0.017769,           0.0042933,           0.0020598,             0.98921,             0.99556,             0.99452,             0.78674,            0.013495,            0.002967,          0.00059919,            0.001981,            0.001981,            0.001981
                  83,            0.017764,           0.0042146,           0.0019919,             0.99052,             0.99518,             0.99448,             0.78839,            0.013373,           0.0029542,           0.0005929,            0.001882,            0.001882,            0.001882
                  84,            0.017715,           0.0042343,           0.0020438,             0.98999,             0.99443,             0.99436,             0.79175,            0.013196,           0.0029403,          0.00058995,            0.001783,            0.001783,            0.001783
                  85,            0.017782,            0.004211,           0.0021506,             0.99062,             0.99401,             0.99445,             0.79011,            0.013318,            0.002946,          0.00058714,            0.001684,            0.001684,            0.001684
                  86,            0.017641,           0.0041953,           0.0020524,             0.99116,             0.99301,             0.99442,             0.79383,            0.013062,           0.0029162,           0.0005906,            0.001585,            0.001585,            0.001585
                  87,            0.017655,           0.0042148,           0.0021293,             0.98921,             0.99463,             0.99441,             0.79889,            0.012779,           0.0028924,          0.00057918,            0.001486,            0.001486,            0.001486
                  88,            0.017397,           0.0041477,           0.0020887,             0.98874,             0.99543,             0.99448,             0.79804,            0.012704,           0.0028825,           0.0005787,            0.001387,            0.001387,            0.001387
                  89,            0.017439,           0.0041869,           0.0020706,             0.99132,             0.99505,             0.99453,             0.79878,            0.012761,           0.0028697,          0.00057752,            0.001288,            0.001288,            0.001288
                  90,            0.017305,            0.004173,           0.0019536,             0.99009,             0.99496,             0.99448,             0.80105,            0.012575,            0.002859,          0.00056637,            0.001189,            0.001189,            0.001189
                  91,            0.017218,           0.0041834,           0.0020403,             0.99128,             0.99439,             0.99449,             0.80278,            0.012514,           0.0028538,          0.00056585,             0.00109,             0.00109,             0.00109
                  92,            0.017138,           0.0041255,           0.0019565,             0.99029,             0.99483,              0.9945,             0.80295,            0.012537,           0.0028464,          0.00056693,            0.000991,            0.000991,            0.000991
                  93,            0.016885,           0.0040765,           0.0019517,             0.99073,             0.99505,             0.99451,             0.80332,            0.012549,            0.002845,          0.00056948,            0.000892,            0.000892,            0.000892
                  94,            0.016824,           0.0040671,           0.0020246,             0.99055,             0.99456,              0.9945,             0.80377,            0.012581,           0.0028439,          0.00056524,            0.000793,            0.000793,            0.000793
                  95,            0.016938,           0.0040786,           0.0019616,             0.99144,             0.99349,             0.99448,             0.80258,            0.012627,           0.0028444,          0.00056656,            0.000694,            0.000694,            0.000694
                  96,            0.016829,            0.004082,           0.0019934,              0.9908,             0.99325,             0.99444,             0.80543,            0.012546,           0.0028359,          0.00056339,            0.000595,            0.000595,            0.000595
                  97,             0.01672,           0.0039933,           0.0020123,             0.99049,             0.99459,             0.99444,             0.80494,            0.012564,           0.0028367,          0.00056325,            0.000496,            0.000496,            0.000496
                  98,            0.016805,           0.0040429,           0.0019875,             0.99148,             0.99459,             0.99442,             0.80572,            0.012524,           0.0028311,          0.00056119,            0.000397,            0.000397,            0.000397
                  99,            0.016529,           0.0039979,           0.0019705,             0.99248,             0.99405,             0.99446,             0.80859,            0.012436,           0.0028227,          0.00055672,            0.000298,            0.000298,            0.000298
